shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
403314,-1.284132,36.826233,1001,
403314,-1.284032,36.82629,1002,
403314,-1.284032,36.82629,1003,
403314,-1.283695,36.825863,1004,
403314,-1.283695,36.825863,1005,
403314,-1.283973,36.825653,1006,
403314,-1.283973,36.825653,1007,
403314,-1.284202,36.825943,1008,
403314,-1.284319,36.826008,1009,
403314,-1.287716,36.82769,1010,
403314,-1.28777,36.827763,1011,
403314,-1.28786,36.827766,1012,
403314,-1.288712,36.828175,1013,
403314,-1.288712,36.828175,1014,
403314,-1.288673,36.828384,1015,
403314,-1.288673,36.828384,1016,
403314,-1.288796,36.828445,1017,
403314,-1.288796,36.828445,1018,
403314,-1.28916,36.827785,1019,
403314,-1.289316,36.82777,1020,
403314,-1.289415,36.827679,1021,
403314,-1.289451,36.827541,1022,
403314,-1.289384,36.827415,1023,
403314,-1.292658,36.821053,1024,
403314,-1.292658,36.821053,1025,
403314,-1.2929,36.820774,1026,
403314,-1.293391,36.820885,1027,
403314,-1.298268,36.823799,1028,
403314,-1.298751,36.823997,1029,
403314,-1.299475,36.824184,1030,
403314,-1.299824,36.824444,1031,
403314,-1.300055,36.824409,1032,
403314,-1.300322,36.824448,1033,
403314,-1.30445,36.826389,1034,
403314,-1.304667,36.826561,1035,
403314,-1.304667,36.826561,1036,
403314,-1.304696,36.826679,1037,
403314,-1.3048,36.826763,1038,
403314,-1.305153,36.82674,1039,
403314,-1.305253,36.826778,1040,
403314,-1.313525,36.830681,1041,
403314,-1.314626,36.831375,1042,
403314,-1.315205,36.831856,1043,
403314,-1.315742,36.83247,1044,
403314,-1.317064,36.834412,1045,
403314,-1.319836,36.838982,1046,
403314,-1.324609,36.847187,1047,
403314,-1.328752,36.854134,1048,
403314,-1.330301,36.85688,1049,
403314,-1.330722,36.857853,1050,
403314,-1.331058,36.859409,1051,
403314,-1.33111,36.860195,1052,
403314,-1.331067,36.86129,1053,
403314,-1.330119,36.868683,1054,
403314,-1.329171,36.875156,1055,
403314,-1.328476,36.880608,1056,
403314,-1.328462,36.881371,1057,
403314,-1.328526,36.882465,1058,
403314,-1.328785,36.883949,1059,
403314,-1.329231,36.885109,1060,
403314,-1.329785,36.886181,1061,
403314,-1.330518,36.887238,1062,
403314,-1.331302,36.888081,1063,
403314,-1.331302,36.888081,1064,
403314,-1.331305,36.888607,1065,
403314,-1.330804,36.889248,1066,
403314,-1.328521,36.892475,1067,
403314,-1.324221,36.899414,1068,
403314,-1.323612,36.899605,1069,
403314,-1.323388,36.899799,1070,
403314,-1.32328,36.900867,1071,
403314,-1.319596,36.906845,1072,
403314,-1.319119,36.907749,1073,
403314,-1.31869,36.908981,1074,
403314,-1.318474,36.910206,1075,
403314,-1.318456,36.911495,1076,
403314,-1.318679,36.914349,1077,
403314,-1.318675,36.915333,1078,
403314,-1.318565,36.916153,1079,
403314,-1.318346,36.917168,1080,
403314,-1.318093,36.917862,1081,
403314,-1.317728,36.91861,1082,
403314,-1.317728,36.91861,1083,
403314,-1.314878,36.916592,1084,
403314,-1.314878,36.916592,1085,
403314,-1.310912,36.913738,1086,
403314,-1.310912,36.913738,1087,
403314,-1.311151,36.913475,1088,
403314,-1.312412,36.911736,1089,
403314,-1.312655,36.911182,1090,
403314,-1.31281,36.909992,1091,
403314,-1.312325,36.909145,1092,
403314,-1.312035,36.908943,1093,
403314,-1.311585,36.908787,1094,
403314,-1.310703,36.909077,1095,
403314,-1.308701,36.909241,1096,
403314,-1.308211,36.910072,1097,
403314,-1.307886,36.910755,1098,
403314,-1.308315,36.911457,1099,
403314,-1.308319,36.911465,2001,
403314,-1.308441,36.911659,2002,
403314,-1.308385,36.911682,2003,
403314,-1.308476,36.911854,2004,
403314,-1.308764,36.912189,2005,
403314,-1.308924,36.91235,2006,
403314,-1.309521,36.912708,2007,
403314,-1.309521,36.912708,2008,
403314,-1.309505,36.912811,2009,
403314,-1.309568,36.91288,2010,
403314,-1.309697,36.912842,2011,
403314,-1.310568,36.913528,2012,
403314,-1.314878,36.916592,2013,
403314,-1.314878,36.916592,2014,
403314,-1.317728,36.91861,2015,
403314,-1.317728,36.91861,2016,
403314,-1.317159,36.919483,2017,
403314,-1.315891,36.921104,2018,
403314,-1.315428,36.921612,2019,
403314,-1.315037,36.921955,2020,
403314,-1.314544,36.922295,2021,
403314,-1.313105,36.923195,2022,
403314,-1.313105,36.923195,2023,
403314,-1.312923,36.923065,2024,
403314,-1.312732,36.9231,2025,
403314,-1.312611,36.923252,2026,
403314,-1.312627,36.923462,2027,
403314,-1.312802,36.923599,2028,
403314,-1.313022,36.923557,2029,
403314,-1.313133,36.923401,2030,
403314,-1.313105,36.923195,2031,
403314,-1.314544,36.922295,2032,
403314,-1.315037,36.921955,2033,
403314,-1.315428,36.921612,2034,
403314,-1.315891,36.921104,2035,
403314,-1.317451,36.919079,2036,
403314,-1.318093,36.917862,2037,
403314,-1.318346,36.917168,2038,
403314,-1.318565,36.916153,2039,
403314,-1.318675,36.915333,2040,
403314,-1.318679,36.914349,2041,
403314,-1.318456,36.911495,2042,
403314,-1.318457,36.910515,2043,
403314,-1.318587,36.909416,2044,
403314,-1.318797,36.908585,2045,
